patent_number,patent_date,patent_title,patent_abstract,assignee_organization,assignee_key_id
10320802,2019-06-11,Method and system for identifying security risks using graph analysis,"Methods, systems, apparatus, and non-transitory computer readable media are described for identifying users who are likely to have unauthorized access to secure data files in an organizational network. Various aspects may include presenting the identified users on a display for a system administrator and/or security analyst to resolve. For example, the display may include a graph data structure with users represented as nodes and connections between users represented as edges. Each connection may be a pair of users belonging to the same security group. Nodes of the graph data structure may be clustered to indicate that each of the users in the cluster belong to the same security group. Moreover, the users who are connected to multiple clusters may be identified as a potential risk of having unauthorized access to secure data files. The authorized access may then be remedied or taken away.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10323860,2019-06-18,Automated water heater flushing and monitoring system,"An automatically flushing water heater maintenance system may be provided, the system including a water heater and a water heater controller. The water heater may include an inlet, an outlet, and a flush outlet having a first control valve in flow communication therewith. The first control valve may be configured to control a flow of water and sediment through the flush outlet out of the water heater. The water heater controller may be configured to communicate with the first control valve by transmitting a first control signal to the first control valve, the first control signal configured to cause the first control valve to open or close as part of an automatic flushing process. As a result of the flushing, the useful life of the water heater may be extended, and/or water heater leakage alleviated. Insurance discounts may be provided based upon using the automatic water heater flushing functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10323956,2019-06-18,Method and system for providing speed limit alerts,"A method and system may provide speed limit data to users driving in vehicles. A user's client device such as a smart-phone, smart watch, or tablet computer, may provide visual, audible, and/or haptic alerts to the user when the user exceeds a posted speed limit by more than a threshold amount. For example, when the user exceeds the posted speed limit by more than the threshold amount, the user's smart-phone may play a beeping sound and may announce the posted speed limit to the user. A map of a geographic area including the user's travelled route may also be displayed, with annotated areas along the route where the user exceeded the posted speed limit. The map may also include an indication of a proportion of a duration or distance of the route in which the user travelled above the posted speed limit.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10324463,2019-06-18,Autonomous vehicle operation adjustment based upon route,"Methods and systems for autonomous and semi-autonomous vehicle control, routing, and automatic feature adjustment are disclosed. Autonomous operation feature usage levels or settings may be automatically adjusted to optimize performance using suitability data for road segments along a route traveled by a vehicle, such as when operating conditions change. Data regarding road segment suitability may be generated from prior operating data for the road segments and retrieved from a map database to aid autonomous vehicle routing, as well as to implement automatic adjustments to feature usage. In some instances, vehicle control may be returned to a vehicle operator, in which case advance warning may be given to enable the operator to prepare to resume control of the vehicle.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10325103,2019-06-18,Selectively obscuring and/or revealing sensitive information in a display of a computing device,"A computer-implemented method may include (1) generating or receiving, at a computing device, display data defining a display layout and one or more fields; (2) providing, on a display screen of the computing device and by processing the display data, a display that initially obscures an item of information in a secure field without obscuring an entirety of the display; (3) detecting, using at least a camera of the computing device, a change in orientation of a user relative to the computing device; and (4) in response to the change in orientation, causing the display to show the item of information in the secure field, and after causing the display to show the item, (i) detecting an expiration of a predetermined time limit, and (ii) in response to detecting the expiration, causing the display to again obscure the item in the secure field without obscuring the entirety of the display.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10325473,2019-06-18,Sensor data to identify catastrophe areas,"A computer-implemented method for generating an automated response to a catastrophic event, that includes (1) analyzing a sample set of data generated in association with a catastrophic event to determine a threshold pattern; (2) receiving, with customer permission or affirmative consent, home sensor data from a smart home controller via wireless communication or data transmission, the home sensor data including data regarding at least one of (i) structural status; (ii) wind speed; (iii) availability of electricity; (iv) presence of water; (v) temperature; (vi) pressure; and/or (vii) presence of pollutants in the air and/or water; (3) determining, based upon or from computer analysis of the home sensor data, whether the home sensor data indicates a match to the threshold pattern; and (4) automatically generating a response if the home sensor data indicates a match to the threshold pattern. As a result, catastrophic events and responses thereto may be improved through usage of a remote network of home sensors.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10325491,2019-06-18,Vehicular traffic alerts for avoidance of abnormal traffic conditions,"Methods and systems are described for generating a vehicle-to-vehicle traffic alert and updating a vehicle-usage profile. Various aspects include detecting, via one or more processors associated with a first vehicle, that an abnormal traffic condition exists in an operating environment of the first vehicle. An electronic message is generated and transmitted wirelessly, via a vehicle-mounted transceiver associated with the first vehicle, to alert a nearby vehicle of the abnormal traffic condition and to allow the nearby vehicle to avoid the abnormal traffic condition. The first vehicle receives telematics data regarding operation of the nearby vehicle after the nearby vehicle received the electronic message, and transmits the telematics data to a remote server for updating a vehicle-usage profile associated with the nearby vehicle.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10327120,2019-06-18,Tow and emergency roadside assistance locating and tracking mobile application,"A system for providing dynamic roadside assistance coordination may include a customer mobile device or vehicle in direct, or indirect, wireless communication with an insurance provider and/or service provider remote server. The customer's device may transmit a request for roadside assistance (e.g., towing services), and a current GPS location. In response, a closest, trusted service provider vehicle may be determined, and then directed to the customer's location. For instance, a software application may receive the customer location and compare it with availability information to match the customer with a close and trusted service provider. The customer's device may receive an acknowledgement that help is on the way, and be able to track the current location of the service provider vehicle while en route. Payment for the roadside assistance may be automatically and electronically paid by the insurance provider. As a result, prompt and safe roadside assistance may be provided.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10331149,2019-06-25,Method and system for a power strip with automatic equipment disconnect,A power strip may automatically disconnect a wired connection in response to received weather alert data based on a configuration file including one or more user preference settings. The power strip may include a receiver for a National Weather Service Specific Area Message Encoding system message including an alert type. The power strip may process the message and disconnect a wired connection based on the preference settings. A timer function may also define a time period that the power strip monitors its receiver for weather alert data and automatically disconnects and reconnects the wired connections.,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10332211,2019-06-25,Risk analysis based on electronic security levels of a vehicle,A computer-implemented method for determining a risk rating of a vehicle. The method includes receiving information indicative of protections against unauthorized electronic access to one or more electronic systems of a vehicle. The method includes determining a vehicle security level based at least on the information indicative of protections against unauthorized electronic access. The method includes determining a risk rating associated with the vehicle. The method includes setting at least one parameter of an insurance policy associated with the vehicle based on at least the determined risk rating.,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10332318,2019-06-25,Method and system of using spatial sensors on vehicle frame to determine crash information,"To determine the extent of the damage to a vehicle after a crash, a vehicle treatment system may determine a change in position of a vehicle part based on one or more spatial sensors attached to the vehicle part. The change in position of the vehicle part may be compared to previous change in position data for the same or similar type of vehicle part, to determine the extent of the damage to the vehicle part. Additionally, the vehicle treatment system may determine the extent of the damage for all vehicle parts to determine an overall extent of the damage to the vehicle after the crash.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10336321,2019-07-02,Autonomous vehicle control assessment and selection,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, an identity of a vehicle operator may be determined and a vehicle operator profile and/or operating data regarding autonomous operation features of the vehicle may be received after the vehicle operator opts into a rewards program and agrees to share their data. Autonomous operation and vehicle operator risk levels associated with operation of the autonomous or semi-autonomous vehicle may be determined. Based upon the risk levels and/or comparison thereof, one or more autonomous operation features may be disengaged. A preparedness level of the vehicle operator to assume or reassume control of operating the vehicle is determined prior to disengagement. If satisfactory, an alert is presented to the vehicle operator prior to disengagement of the autonomous operation features.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10343605,2019-07-09,Vehicular warning based upon pedestrian or cyclist presence,"Systems and methods are described for providing alerts. In various aspects, sensor data is received at one or more sensors associated with a vehicle, where the sensor data defines an electronic vehicle environment that indicates an electronic location of the vehicle. An electronic pedestrian or cyclist location is identified within the electronic vehicle environment, which is determined by a mobile device associated with a pedestrian or cyclist. Where a determination is made that the pedestrian or cyclist meets predetermined alert criteria based upon the electronic vehicle location and the electronic pedestrian or cyclist location, an alert is generated that indicates the presence of the pedestrian or cyclist within the vicinity of the vehicle. The alert is presented on a display screen.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10346811,2019-07-09,Systems and methods for responding to a broken circuit,"Risk of damage that is caused by the breaking of a circuit may be mitigated. A smart home controller and/or insurance provider remote processor may analyze data, with an insured's permission, received from a smart device disposed on, within, or proximate to a property associated with monitoring the flow of electricity. If it is determined that risk of damage due to the flow of electricity being cut off repeatedly exists, the smart home controller or remote processor may automatically generate a repair request to schedule a repair event that mitigates the risks. The smart home controller may transmit information about the risks to a homeowner and/or an insurance provider. The insurance provider remote processor may interpret the transmitted data and perform insurance activities, such as providing a discount or premium, and/or adjusting an insurance policy associated with the property based upon the insured property being equipped with risk mitigation functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10346924,2019-07-09,Systems and method for analyzing property related information,"A property analyzer device may include (1) a receiver configured to receive property identification information from a mobile device, the received property identification information including a picture of the property and/or a property location; (2) a retriever configured to retrieve property-related information from multiple property sources (such as public record databases, websites, or an internal company database) based upon the received property identification information; (3) a processor configured to consolidate the retrieved property-related information into a consolidated property-related image of the property; and (4) a transmitter configured to transmit the consolidated property-related image to the mobile device for review by a user. The mobile device may display the consolidated images that may include several images of the property taken over time (such as showing repairs or improvements made), home insurance quotes, home loan quotes, and other types of property-related or community information that home buyers or owners would find useful.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10351097,2019-07-16,Methods of theft prevention or mitigation,"In system and methods for theft prevention or mitigation, driver-related data associated with one or more authorized drivers of an insured vehicle may be collected over time. The authorized drivers and the insured vehicle may be covered by an insurance policy issued by an insurance provider. Based upon the collected driver-related data, a database associated with the authorized drivers may be built. Current driver-related data associated with an individual currently driving, attempting to start, or sitting in a seat of the insured vehicle may be collected. It may be determined, using both the database and the current driver-related data, that the individual is not among the authorized drivers. A disablement of an operation of the insured vehicle may be caused, and/or the individual may be caused to be prevented from starting or otherwise operating the insured vehicle, to facilitate preventing or mitigating theft of the insured vehicle.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10351133,2019-07-16,Systems and methods for reconstruction of a vehicular crash,"A system for detecting a vehicular crash may (i) receive data from said at least one sensor; (ii) determine that a potential vehicular crash is imminent based upon the received data; and/or (iii) transmit one or more high priority packets including a notification that the potential vehicular crash is imminent. As a result, the speed and accuracy of detecting an imminent vehicular crash is increased. The system may also utilized vehicle occupant positional data, and internal and external sensor data to detect potential imminent vehicle collisions, take corrective actions, automatically engage autonomous or semi-autonomous vehicle features, and/or generate virtual reconstructions of the vehicle collision.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10353359,2019-07-16,Systems and methods for managing smart devices based upon electrical usage data,"Systems and methods for managing the operation of devices within a home or other property based upon electrical usage data. With customer knowledge or consent, a home controller may retrieve and analyze electrical usage data corresponding to a device, such as by comparing it to certain threshold data. If the analysis results in a trigger condition, the controller may generate a command, and transmit the command to the device for implementation, allowing modification of device operation to address any issues indicated in the electrical usage data. The controller may also notify a home owner/occupant. As a result, faulty devices may be managed prior to their faults causing damage to the device and/or the property, and/or property owners may be timely prompted to investigate, repair, and/or replace a failing device. Insurance discounts may be provided based upon the risk mitigation/prevention functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10353694,2019-07-16,Autonomous vehicle software version assessment,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, the operating status of the features, the identity of a vehicle operator, risk levels for operation of the vehicle by the vehicle operator, or damage to the vehicle may be determined based upon sensor or other data. According to further aspects, decisions regarding transferring control between the features and the vehicle operator may be made based upon sensor data and information regarding the vehicle operator. Additional aspects may recommend or install updates to the autonomous operation features based upon determined risk levels. Some aspects may include monitoring transportation infrastructure and communicating information about the infrastructure to vehicles.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10354330,2019-07-16,Autonomous feature use monitoring and insurance pricing,"Methods and systems for monitoring use and determining risk associated with operation of autonomous vehicles are provided. According to certain aspects, autonomous operation features associated with a vehicle may be determined, and operating data regarding vehicle operation may be obtained. The operating data may include information regarding use levels or settings associated with use of the autonomous operation features. Risk levels associated with the features may be determined from test data or actual loss data. The risk levels and operating data may be used to determine a total risk level associated with operation of the vehicle with expected use levels of the autonomous operation features. The total risk level may further be used to determine or adjust aspects of an insurance policy associated with the vehicle.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10354333,2019-07-16,Providing insurance discounts based upon usage of telematics data-based risk mitigation and prevention functionality,"A computer-implemented method of updating an auto insurance policy is provided. The method may include (1) determining that a customer's mobile device has a Telematics Application (“App”) installed on it, the Telematics App configured to (i) receive telematics data associated with another vehicle via a wireless communication broadcast; (ii) determine a travel event from analysis of the telematics data received, and (iii) generate a corrective action based upon the telematics data received or travel event determined that alleviates the risk of vehicle collision. The method may also include (2) monitoring, with the customer's permission, an amount or percentage of usage of the Telematics App on the customer's mobile device while the customer is driving in an insured vehicle; and (3) adjusting an insurance policy premium or discount based upon usage of the Telematics App to facilitate rewarding risk-averse drivers and encourage usage of risk mitigation or prevention technology.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10354334,2019-07-16,Systems and methods for weather-related vehicle damage prevention,"An insurance computing device is provided. The insurance computing device may include a processor and a memory. The processor may be programmed to receive a registration request from a vehicle computing device associated with a vehicle and/or a covered parking location (CPL) computing device associated with a covered parking location, generate a usage profile associated with at least one of the vehicle and the covered parking location, monitor the vehicle computing device and/or the CPL computing device for any requests to reserve an available parking spot of the covered parking location, update the usage profile, determine if an insurance policy associated with the vehicle and/or the covered parking location is eligible for insurance-related benefits based upon the usage profile.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10354455,2019-07-16,Systems and methods for weather-related vehicle damage prevention,"A computer-implemented method for providing covered parking to vehicles is provided. The method may include transmitting a location identifier of a covered parking location and a communication address of a covered parking location (CPL) computing device to a vehicle computing device and/or an insurance computing device. The method may further include transmitting a signal to the vehicle computing device indicating a number of available parking spots of the covered parking location when the vehicle computing device contacts the CPL computing device, receiving a request from the vehicle computing device to reserve a parking spot of the covered parking location, determining whether to accept the request, and transmitting a response to the vehicle computing device. Accepting the request causes the CPL computing device to permit a vehicle associated with the vehicle computing device access to the covered parking location.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10354461,2019-07-16,Determining corrective actions based upon broadcast of telematics data,"A mobile device configured to receive telematics data from another vehicle when the mobile device is traveling in a moving vehicle and take corrective action when a travel event exists may be provided. The mobile device may receive telematics data associated with an originating vehicle, analyze the telematics data, and determine or identify that a travel event associated with the originating vehicle exists and, when the travel event is determined to exist, determine whether the travel event is relevant to the moving vehicle or a route that the moving vehicle is presently traveling, and if so, direct corrective action such that safer vehicle travel for the moving vehicle is facilitated based upon the telematics data that is collected by the originating vehicle. An insurance provider may collect an insured's usage of the vehicle safety functionality to calculate, update, and/or adjust insurance premiums, rates, discounts, points, or programs.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10355554,2019-07-16,Electric powered linear actuator,"An electric linear actuator includes include a housing, a puck, an actuator rod, and an electric motor. The puck is contained within the housing and configured for substantially linear motion, within the housing. The actuator rod is capable of being contained, at least in part, within the housing and configured to actuate, in a substantially linear fashion, in response to substantially linear motion of the puck. The electric motor is disposed within the rod and configured to provide mechanical force to cause the substantially linear motion of the puck, within the housing.",Caterpillar Inc.,143058
10355875,2019-07-16,Utilizing movement-based control data,A system for utilizing movement-based control data is presented. The system may include a control device configured to generate a control signal corresponding to at least one movement associated with the control device. The system may also include a target device. The target device may be configured to receive the control signal corresponding to the movement(s) associated with the control device. The target device may also be configured to process the control signal to determine at least one indication of the movement(s) associated with the control device. The target device may additionally be configured to determine at least one control command based on the at least one indication of the movement(s) associated with the control device. The target device may further be configured to execute the at least one control command so that at least one particular device is controlled based on the at least one control command.,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10356303,2019-07-16,Systems and methods for controlling smart devices based upon image data from image sensors,"The present embodiments relate to managing the operation of devices within a home or other property based upon received image data. According to certain aspects, a controller within the home may receive, with customer permission or consent, image data from image sensors disposed throughout the home. The controller may analyze the image data in combination with profile data for individuals associated with the home to determine that a certain individual is indicated in the image data. The controller may further determine an action to facilitate based upon the individual being detected in a certain location of the property, and may direct smart devices to perform that action. As a result, the present embodiments may facilitate providing occupant-location based (or occupant-presence or preference based) functionality, functions, or services, and/or directing operations of smart devices located about a property based upon occupant location, presence, preferences, and/or activities at the property.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10359782,2019-07-23,Facilitating safer vehicle travel utilizing telematics data,"Various devices are described, which are configured to use telematics data from one driver to facilitate safer vehicle travel for another driver. A remote server may include (1) a communication unit configured to receive a broadcast including telematics data generated and transmitted from a first mobile device or smart vehicle; and (2) a processor configured to determine (i) a travel event; (ii) a GPS location of the travel event; and/or (iii) an estimated or actual geographical or temporal scope of the travel event from computer analysis of the telematics data. The remote server may transmit a travel event-related wireless communication to a second mobile device or smart vehicle to facilitate safer vehicle travel for a second driver or vehicle based upon the telematics data associated with the first driver/vehicle. Insurance discounts may be provided for individuals or vehicles based upon having or using the risk mitigation or prevention functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10360742,2019-07-23,System and method for generating vehicle crash data,"A computer-implemented method for generating vehicle crash data is presented. It may be determined whether a first mobile computing device has detected that a crash of a vehicle has occurred. It may also be determined whether a second mobile computing device(s) has detected that the crash has occurred. Sensor data output by at least one sensor of the first mobile computing device and/or the second mobile computing device(s) may be received when it is determined that the first mobile computing device and/or the second mobile computing device(s) has detected that the crash has occurred. Vehicle crash data may be generated based on such sensor data, and may include an initial confirmation that the crash has occurred, an indication of crash severity, an indication of a number of vehicle occupants, and/or an indication that the crash has not occurred.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10360794,2019-07-23,Determining abnormal traffic conditions from a broadcast of telematics data originating from another vehicle,"A computer-implemented method of using telematics data at a destination device is provided. The destination device may be a mobile device associated with a driver, or a smart vehicle controller of a destination vehicle. The telematics data is generated by an originating mobile device (i) having a Telematics Application (or “App”), and (ii) associated with a second driver/vehicle, the telematics data including acceleration, braking, speed, heading, and location data associated with an originating vehicle. The telematics data may be broadcast from the originating mobile device to the destination device that (a) analyzes the telematics data received, (b) determines that an abnormal travel condition exists, and (c) automatically take corrective action that alleviates a negative impact of the abnormal travel condition on the destination vehicle to facilitate safer travel. A usage-based or other insurance discount may be provided based upon insured usage of the telematics data-based risk mitigation or prevention functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10365662,2019-07-30,Analyzing telematics data to determine travel events and corrective actions,"A computer-implemented method of using telematics data associated with an originating vehicle at a destination vehicle is provided. The method includes receiving telematics data associated with the originating vehicle by (1) a mobile device, or (2) a smart vehicle controller associated with a driver, and analyzing the telematics data to determine that a travel event exists. If the travel event exists, the method may determine if the travel event presents an issue or problem for the vehicle (or driver) by determining that a GPS location of the travel event is located along the current travel route of the vehicle and, if so, automatically taking a preventive or corrective action that alleviates a negative impact of the travel event on the driver or vehicle to facilitate safer or more efficient vehicle travel. Insurance discounts may be provided based upon the risk mitigation or prevention functionality, or usage thereof.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10366300,2019-07-30,Systems and methods regarding 2D image and 3D image ensemble prediction models,"Systems and methods are described for generating an enhanced prediction from a 2D and 3D image-based ensemble model. In various embodiments, a computing device can be configured to obtain one or more sets of 2D and 3D images and to standardize each of the 2D and 3D images to allow for comparison and interoperability. Corresponding 2D3D image pairs can be determined from the standardized 2D and 3D pairs where the 2D and 3D images correspond based on a common attribute, such as a similar timestamp or time value. The enhanced prediction can use separate underlying 2D and 3D prediction models where the 2D and 3D images of a 2D3D pair are each input to the respective underlying 2D and 3D prediction models to generate respective 2D and 3D predict actions.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10366370,2019-07-30,Systems and methods for managing and communicating vehicle notifications for various circumstances,"Methods and systems for retrieving and compiling vehicle information from a variety of sources, and assessing circumstances or events based upon the vehicle information. A central entity, such as an insurance provider, may receive the vehicle information and avail information related to a plurality of vehicles to vehicle owners or operators in a single source dashboard. The central entity may assess the vehicle circumstances to determine whether to notify the individuals of an event, such as a vehicle recall or upcoming maintenance, and then generate notifications and communicate the notifications to the individuals. The notifications may enable the individuals to take maintenance, repair, update, and/or other actions to manage the circumstances and potentially avoid situations that may cause unnecessary financial commitments or vehicle damage. The insurance provider may adjust auto insurance premiums, discounts, rewards, or rebates based upon the type or usage of the dashboard functionality utilized by an insured.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10366605,2019-07-30,Broadcasting information related to hazards impacting vehicle travel,"A system of broadcasting information related to hazards impacting vehicle travel may include a mobile device configured to: (1) mount within a vehicle dashboard cradle so that the mobile device is positioned to take images forward of a vehicle; (2) collect telematics data, with customer permission or affirmative consent, when the vehicle is moving, including GPS location, speed, heading, lane, braking, cornering, acceleration, and/or route data of the vehicle; (3) generate an alert based upon the telematics data and the images, and/or broadcast data including the images and the telematics data; and/or (4) broadcast the alert and/or the data collected to (a) a nearby vehicle(s) and/or (b) a smart infrastructure component(s) to facilitate warning of hazards upon the nearby vehicle(s) and/or the smart infrastructure component(s) receiving and processing the alert and/or the broadcasted data. Insurance discounts may be generated based upon the risk mitigation or prevention functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10371143,2019-08-06,System and method for health determination of a machine component,"A system for determining health of a component is provided. The system includes an operational parameter module associated with the component and in communication with a controller. The controller is configured to receive an operating parameter signal from the operational parameter module. The controller is configured to monitor a change of the operating parameter over a predetermined time period. The controller is configured to compare the monitored operating parameter with a first predetermined threshold. The controller is configured to determine a rate of change of the monitored operating parameter over the predetermined time period. The controller is also configured to compare the determined rate of change with a second predetermined threshold. The controller is further configured to determine the health of the component based, at least in part, on the comparisons with the first and second predetermined thresholds respectively and one or more additional parameters associated with the component.",Caterpillar Inc.,143058
10373259,2019-08-06,Fully autonomous vehicle insurance pricing,"Methods and systems for determining risk associated with operation of fully autonomous vehicles are provided. According to certain aspects, autonomous operation features associated with a vehicle may be determined, including types and version of sensors, control systems, and software. This information may be used to determine a risk profile reflecting risk levels for a plurality of features, which may be based upon test data regarding the features or actual loss data. Expected use levels may further be determined and used with the risk profile to determine a total risk level associated with operation of the vehicle by the autonomous operation features. The expected use levels may indicate expected vehicle use, as well as traffic, weather, or other conditions in which the vehicle is likely to operate. The total risk level may be used to determine or adjust aspects of an insurance policy associated with the vehicle.",NA,NA
10373261,2019-08-06,Insurance coverage and rating system and method,"An insurance coverage and rating system and method. The system includes one or more data collecting devices collecting telematics data relative to one or more of an automobile, a home, health or at least one social media platform of an insured. An insurance analysis center is communicatively coupled to the one or more data collecting devices and receives telematics data from the one or more data collecting devices. The insurance analysis center determines an insurance rate for one or more of automobile insurance coverage, home insurance coverage, or life insurance coverage based at least in part on the telematics data received. A total insurance policy premium is then calculated by adding at least two of the determined insurance rates for the one or more of the automobile insurance coverage, the home insurance coverage or the life insurance coverage.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10373387,2019-08-06,Systems and methods for enhancing and developing accident scene visualizations,"Systems and methods are disclosed for enhancing and developing a damage scene virtual reality (VR) visualization. Annotated immersive multimedia image(s) may be received from a first user, where the annotated immersive multimedia image(s) can be associated with a damage scene. A VR visualization of the annotated immersive multimedia image(s) may be rendered using a VR device associated with a second user. The VR visualization may be used to determine a damage amount, where the damage amount is determined from one or more damaged items identifiable in the annotated immersive multimedia image(s).",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10373497,2019-08-06,Alert notifications utilizing broadcasted telematics data,"Geographic location data and telematics data may be collected in real-time by a mobile device within a vehicle, or the vehicle itself. The telematics data may indicate vehicle direction, speed, motion, etc., as well as traffic hazards in the surrounding environment. A remote server may receive the location and telematics data from two vehicles. If an anomalous or hazardous condition exists in the vicinity of the first vehicle, a geographic relationship with the second vehicle is determined, and if within a predetermined distance, an alert or alternate route for the second vehicle is determined and transmitted to the second vehicle. As a result, a negative impact or risk of collision caused by the anomalous condition on the second vehicle is alleviated. The amount of the insured's usage of the telematics data-based risk mitigation or prevision functionality may be used to calculate or adjust insurance premiums, rates, or discounts.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10373523,2019-08-06,Driver organization and management for driver's education,"During driving sessions, data may be collected via one or more sensors that are incorporated within a vehicle or as part of a device carried within the vehicle. Using this data, a driving session report may be generated and a driving session feedback score may be calculated, which provides feedback regarding a students' driving skills Driver profiles may be generated for each student including contact information and/or any number of driving session reports saved over the course of several driving sessions. A user interface is described that facilitates interaction by allowing a user to create driver profiles, group driver profiles, display driver profiles as a single list view or as a grouped list view, select driver profiles from these displayed lists, edit driver information and/or delete driver profiles, and display driving session reports stored as part of a driver profile together such that comparisons may be made.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10380368,2019-08-13,Data field masking and logging system and method,"A computer-implemented method for controlling the expression of a block of data from a sensitive data storage device, the method including the steps of receiving from a software application a request to transfer the block of data from the source sensitive data storage device for expression at a destination device, determining a data mask indicator for the block of data, applying a limited expression format based upon the data mask indicator, and expressing the block of data at the destination device in the limited expression format, such as to facilitate protecting or masking sensitive data. The method may further include allowing a user to request revelation of a masked portion of the block of data, recording in a memory log user activity relating to such revelation request(s) of the user, and providing regular reports and/or administrative alerts relating to such logged user activity.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10380904,2019-08-13,Using train telematics data to provide information in one or more vehicles to reduce accident risk,"A computer system configured to use train telematics data to reduce risk of accidents via a mobile device traveling within a vehicle may be provided. The mobile device may be configured to (1) receive train telematics data associated with a train that includes GPS location, speed, route, heading, acceleration, and/or track data; (2) determine when, or a time period of when, the train will pass through, be passing through, or be within a predetermined distance of a railroad crossing based upon the train telematics data; (3) determine an alternate route for the vehicle to take to avoid waiting at the railroad crossing; and (4) cause display of the alternate route on a display of the mobile device or a vehicle navigation system to allow the train to pass and to avoid train-vehicle collisions. Insurance discounts may be generated based upon the risk mitigation or prevention functionality.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10384678,2019-08-20,Autonomous vehicle action communications,"Methods and systems for communicating between autonomous vehicles are described herein. Such communication may be performed for signaling, collision avoidance, path coordination, and/or autonomous control. A first autonomous vehicle may receive a communication from a second autonomous vehicle travelling on the same road as the first autonomous vehicle, where the communication includes an indication of a maneuver which will be performed by the second autonomous vehicle. The first autonomous vehicle may then analyze the communication to identify a first maneuver for the first autonomous vehicle in response to the second maneuver performed by the second autonomous vehicle. Thus, the first autonomous vehicle may move in accordance with the first maneuver.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10386192,2019-08-20,Autonomous vehicle routing,"Methods and systems for autonomous and semi-autonomous vehicle routing are disclosed. Roadway suitability for autonomous operation is scored to facilitate use in route determination. Maps of roadways suitable for various levels of autonomous operation may be generated. Such map data may be used by autonomous vehicles or other computer devices in determining routes based upon criteria for vehicle trips. Such routes may be automatically updated based upon changes in road conditions, vehicle conditions, operator conditions, or environmental conditions. Emergency routing using such map data is described, such as automatic routing and travel when a passenger is experiencing a medical emergency.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
